tweet,Positive,Negative,Neutral
 rt mayasolovely as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,0.091,0.0,0.909
 rt  boy dats coldtyga dwn bad for cuffin dat hoe in the  place,0.0,0.226,0.774
 rt urkindofbrand dawg rt  you ever fuck a bitch and she start to cry you be confused as shit,0.0,0.556,0.444
 rt cganderson vivabased she look like a tranny,0.294,0.0,0.706
 rt shenikaroberts the shit you hear about me might be true or it might be faker than the bitch who told it to ya ,0.215,0.12,0.665
tmadisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes ,0.115,0.111,0.774
brighterdays i can not just sit up and hate on another bitch  i got too much shit going on,0.0,0.442,0.558
 cause im tired of you big bitches coming for us skinny ,0.0,0.43,0.57
 amp you might not get ya bitch back amp thats that ,0.235,0.0,0.765
 rhythmixx hobbies include fighting mariambitch,0.0,0.385,0.615
 keeks is a bitch she curves everyone  lol i walked into a conversation like this smh,0.256,0.31,0.434
 murda gang bitch its gang land ,0.0,0.432,0.568
 so hoes that smoke are losers   yea  go on ig,0.0,0.274,0.726
 bad bitches is the only thing that i like ,0.168,0.497,0.336
 bitch get up off me ,0.0,0.487,0.513
 bitch nigga miss me with it ,0.0,0.574,0.426
 bitch plz whatever ,0.213,0.623,0.164
 bitch who do you love ,0.382,0.345,0.273
 bitches get cut off everyday b ,0.0,0.667,0.333
 black bottle amp a bad bitch ,0.0,0.709,0.291
 broke bitch cant tell me nothing ,0.0,0.623,0.377
 cancel that bitch like nino ,0.243,0.563,0.194
 cant you see these hoes wont change ,0.0,0.0,1.0
 fuck no that bitch dont even suck dick   the kermit videos bout to fuck ig up,0.182,0.463,0.356
 got ya bitch tip toeing on my hardwood floors   ,0.0,0.322,0.678
 her pussy lips like heaven doors  ,0.592,0.0,0.408
 hoe what its hitting for ,0.0,0.0,1.0
 i met that pussy on ocean dr  i gave that pussy a pill  ,0.0,0.0,1.0
 i need a trippy bitch who fuck on hennessy ,0.0,0.593,0.407
 i spend my money how i want bitch its my business ,0.107,0.314,0.579
 i txt my old bitch my new bitch pussy wetter ,0.0,0.521,0.479
 id say im back to the old me but my old bitches would get excited  ,0.145,0.249,0.606
 if you aint bout that murder game pussy nigga shut up ,0.272,0.0,0.728
 if youre toes aint done you pussy stinks ,0.0,0.222,0.778
 im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that ,0.0,0.417,0.583
 is that ya bitch ,0.0,0.559,0.441
 it aint nothing to cut a bitch off ,0.318,0.166,0.517
 jus meet son now he ya mane ass bitches  shots,0.0,0.481,0.519
 lames crying over hoes thats tears of a clown ,0.0,0.59,0.41
 like snoop said in  we dont love these hoes ,0.194,0.262,0.544
 momma said no pussy cats inside my doghouse ,0.0,0.239,0.761
 most hated but the hoes favorite   sevenone  ,0.341,0.234,0.426
 nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick ,0.269,0.233,0.498
 pimps up pimps up hoes down  future voice,0.0,0.0,1.0
 post a picture of that pussy get  likes ,0.318,0.0,0.682
 pussy is a powerful drug   happyhumpday ,0.412,0.0,0.588
