Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,Compound,Positive,Negative,Neutral,Sentimento
2326,3,0,3,0,1,got a missed call from yo bitch,-0.7184,0.0,0.6,0.4,Negativo
16283,3,0,3,0,1,rt kingtunchi fucking with a bad bitch you gone need some money lil homie,-0.8335,0.0,0.416,0.584,Negativo
19362,3,0,1,2,2,rt eanahs lol my credit aint no where near good but i know the right man for the job that ho nice though,0.8314,0.388,0.0,0.612,Positivo
16780,3,0,3,0,1,rt maxinbetha wipe the cum out of them faggot rt contact lens is wildin cant see shit,-0.3561,0.131,0.197,0.672,Negativo
13654,3,1,2,0,1,niggas cheat on they bitch and dont expect no pay back whatsoever yall just as naive as these bitches,-0.9188,0.105,0.5,0.395,Negativo
13233,3,0,3,0,1,mother asked what i wanted for christmas this year replied with for her to not go crazy and my sister to not be a bitch,0.6259,0.196,0.0,0.804,Positivo
21919,3,0,3,0,1,thats real dedication this bitch got diarrhea and still here shitting up the,-0.8074,0.0,0.399,0.601,Negativo
12557,6,0,6,0,1,kiss imo this conductor its am have some courtesy you bitch,0.128,0.31,0.222,0.468,Positivo
13404,6,0,6,0,1,my momma keep talking to me like bitch gtf im on twitter,-0.3182,0.153,0.233,0.613,Negativo
19839,3,0,3,0,1,rt karlosbudah i kno this bitch a thot she wanna meet my momma now,-0.6705,0.0,0.29,0.71,Negativo
24648,6,0,6,0,1,like a bitch pic is flirting nowadays,-0.128,0.387,0.342,0.27,Negativo
4399,3,2,0,1,0,niennunb what did you search gay redneck episode play,0.34,0.231,0.0,0.769,Positivo
9905,3,0,3,0,1,halloweens over and bitches still playing roles,-0.4767,0.168,0.364,0.467,Negativo
24340,3,1,2,0,1,fucking queer,0.0,0.0,0.0,1.0,Neutro
23334,3,1,2,0,1,why bitches quick to have a nigga baby then be suprised when she taking care of it by herself,-0.1779,0.139,0.169,0.693,Negativo
11189,3,0,3,0,1,i stopped snapping on women and calling them bitches,-0.7003,0.0,0.492,0.508,Negativo
3886,3,2,1,0,0,keebithalal loganswarning gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy,0.6369,0.198,0.0,0.802,Positivo
11757,3,0,3,0,1,idgaf about you flat chested hoes feelings either you a grown ass man nigga,-0.5423,0.0,0.226,0.774,Negativo
21444,6,1,5,0,1,so yall give farwells to lulu yet did all but shit on kris ok bitches ok,-0.7684,0.201,0.368,0.431,Negativo
4934,3,0,0,3,2,stunningstina their tortillas are trash though,0.0,0.0,0.0,1.0,Neutro
18899,6,0,6,0,1,rt sheswatspoppin js met a lil bitch wit a long name mufucka had more letters den tennessee i go gorilla ina pussy,-0.5859,0.0,0.174,0.826,Negativo
24493,6,0,6,0,1,i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,-0.7377,0.0,0.28,0.72,Negativo
16158,3,0,0,3,2,rt jeffduncan jsu coach omar johnson its what u do against the ball u throw it hit it catch it doesnt matter if the yankees are,-0.0191,0.0,0.045,0.955,Neutro
24503,9,1,8,0,1,i seen a nigga dressed to impress hop out da bus n a bitch wit a phatty get off at his stop too say somethingod throwin u da lob,-0.4767,0.1,0.208,0.692,Negativo
2277,3,0,3,0,1,or hoes for everything,0.0,0.0,0.0,1.0,Neutro
11793,3,0,3,0,1,if i had hair i would seriously go for a perm now genetics is a stone cold bitch,-0.6705,0.0,0.314,0.686,Negativo
12082,4,0,3,1,1,ima start friend zoning these hoes,0.4939,0.39,0.0,0.61,Positivo
19049,3,0,3,0,1,rt bdha what a shit heel,-0.5574,0.0,0.474,0.526,Negativo
22465,3,0,3,0,1,this bitch pregnant again,-0.5859,0.0,0.559,0.441,Negativo
